# git tag version 2.1.1 |  motus version 2.1.1 | map_tax 2.1.1 | gene database: nr2.1.1 | calc_mgc 2.1.1 -y insert.scaled_counts -l 75 | calc_motu 2.1.1 -k mOTU -C no_CAMI -g 3 | taxonomy: ref_mOTU_2.1.1 meta_mOTU_2.1.1
# call: python /home/antonycp/tools/mOTUs_v2/motus profile -q -s /home/antonycp/Desktop/checkm_bincoverage_test/Humanclean_3831_DNAtissue_R1.fastq.gz,/home/antonycp/Desktop/checkm_bincoverage_test/Humanclean_3831_DNAtissue_R2.fastq.gz
#mOTU	consensus_taxonomy	unnamed sample
ref_mOTU_v2_1189	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium botulinum	0.0000000000
ref_mOTU_v2_1190	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Chania|s__Chania multitudinisentens	0.0000000000
ref_mOTU_v2_1191	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. [C botulinum/novyi]	0.0000000000
ref_mOTU_v2_1192	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. [C botulinum/novyi]	0.0000000000
ref_mOTU_v2_1193	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus fascians	0.0000000000
ref_mOTU_v2_1194	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae|g__Sporolactobacillus|s__Sporolactobacillus terrae	0.0000000000
ref_mOTU_v2_1195	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomycetaceae gen. [C Streptomyces/Kitasatospora]|s__Streptomycetaceae gen. [C Streptomyces purpeofuscus/Kitasatospora sp.]	0.0000000000
ref_mOTU_v2_1196	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella|s__Trueperella pyogenes	0.0000000000
ref_mOTU_v2_1197	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium oryzae [C]	0.0000000000
ref_mOTU_v2_1198	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium jeotgali [C]	0.0000000000
ref_mOTU_v2_1199	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium sp. Cr-K20	0.0000000000
ref_mOTU_v2_1200	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium psychrophilum	0.0000000000
ref_mOTU_v2_1201	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis|g__candidatus Ruthia|s__candidatus Ruthia magnifica	0.0000000000
ref_mOTU_v2_1202	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Hafnia|s__Hafnia alvei	0.0000000000
ref_mOTU_v2_1203	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas caviae [C]	0.0000000000
ref_mOTU_v2_1204	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria ivanovii	0.0000000000
ref_mOTU_v2_1205	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria ivanovii	0.0000000000
ref_mOTU_v2_1206	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus sp. [C cibi/indicus]	0.0000000000
ref_mOTU_v2_1207	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium phytofermentans	0.0000000000
ref_mOTU_v2_1208	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia|s__Finegoldia magna	0.0000000000
ref_mOTU_v2_1209	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces virginiae [C]	0.0000000000
ref_mOTU_v2_1210	k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia muridarum	0.0000000000
ref_mOTU_v2_1211	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales fam .incertae sedis|g__Geomicrobium|s__Geomicrobium sp. [C JCM 19037/JCM 19039]	0.0000000000
ref_mOTU_v2_1212	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales fam .incertae sedis|g__Geomicrobium|s__Geomicrobium sp. [C JCM 19038/JCM 19055]	0.0000000000
ref_mOTU_v2_1213	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus sp. [C JCM 19045/JCM 19046]	0.0000000000
ref_mOTU_v2_1214	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces sp. NRRL F-6677	0.0000000000
ref_mOTU_v2_1215	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces aureofaciens [C]	0.0000000000
ref_mOTU_v2_1216	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces sp. [C NRRL F-2305/NRRL S-37]	0.0000000000
ref_mOTU_v2_1217	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces katrae [C]	0.0000000000
ref_mOTU_v2_1218	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces seoulensis [C]	0.0000000000
ref_mOTU_v2_1219	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces mutabilis [C]	0.0000000000
ref_mOTU_v2_1220	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces sp. [C NRRL F-5053/NRRL S-1868]	0.0000000000
ref_mOTU_v2_1221	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [C Streptomycetales/Streptosporangiales]|f__Actinobacteria fam. [C Streptomycetaceae/Streptosporangiaceae]|g__Actinobacteria gen. [C Streptomyces/Microtetraspora]|s__Actinobacteria sp. [C Streptomyces sp. NRRL F-5727/Microtetraspora glauca]	0.0000000000
ref_mOTU_v2_1222	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces griseus [C]	0.0000000000
ref_mOTU_v2_1223	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces sp. [C NRRL F-5630/SA3_actG/SPB074/SPB78/Tu6071]	0.0000000000
ref_mOTU_v2_1224	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces sp. [C NRRL S-337/NRRL S-1448]	0.0000000000
ref_mOTU_v2_1225	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces sp. [C NRRL B-24720/NRRL S-1824]	0.0000000000
ref_mOTU_v2_1226	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces sp. [C NRRL S-237/NRRL S-241/NRRL S-515]	0.0000000000
ref_mOTU_v2_1227	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces pyridomyceticus [C]	0.0000000000
ref_mOTU_v2_1228	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces sp. [C NRRL S-455/NRRL S-474/NRRL S-481]	0.0000000000
ref_mOTU_v2_1229	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces flavovariabilis [C]	0.0000000000
ref_mOTU_v2_1230	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora sp. [C chokoriensis/parva]	0.0000000000
ref_mOTU_v2_1231	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium sp. [C cryptum/multivorum]	0.0000000000
ref_mOTU_v2_1232	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia|s__Delftia sp. [C acidovorans/tsuruhatensis]	0.0000000000
ref_mOTU_v2_1233	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Desulfitobacterium|s__Desulfitobacterium dehalogenans [C]	0.0000000000
ref_mOTU_v2_1234	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Robinsoniella|s__Robinsoniella peoriensis [C]	0.0000000000
ref_mOTU_v2_1235	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus sp. [C scB241_526D20/scB241_527L15/scB241_528N20/scB241_529C4/scB241_529J11/scB241_529O19/scB243_495K23/scB243_495N16/scB243_496G15/scB243_498B22/scB243_498C16/scB243_498P3/scB243_498P15/scB245a_518O7/scB245a_520F22/scB245a_521B10/scB245a_521O20]	0.0000000000
ref_mOTU_v2_1236	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus sp. [C scB241_528P18/scB241_529D18/scB241_529J15/scB243_495L20/scB243_496A2/scB243_497J18/scB243_498N4/scB245a_518A6/scB245a_518A17]	0.0000000000
ref_mOTU_v2_1237	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus sp. [C scB241_527L22/scB243_495D8/scB243_498A3/scB245a_519O21]	0.0000000000
ref_mOTU_v2_1239	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus sp. scB241_528N17	0.0000000000
ref_mOTU_v2_1240	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus marinus	0.0000000000
ref_mOTU_v2_1241	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium favelukesii [C]	0.0000000000
ref_mOTU_v2_1242	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio metoecus [C]	0.0000000000
ref_mOTU_v2_1243	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales Family XII. Incertae Sedis|g__Exiguobacterium|s__Exiguobacterium alkaliphilum [C]	0.0000000000
ref_mOTU_v2_1244	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces halstedii [C]	0.0000000000
ref_mOTU_v2_1245	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas sp. [C Chol1/HMP271]	0.0000000000
ref_mOTU_v2_1246	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium acetobutylicum	0.0000000000
ref_mOTU_v2_1247	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas sp. [C H2/WCS358]	0.0000000000
ref_mOTU_v2_1248	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium sp. [C MGL06/R1-200B4]	0.0000000000
ref_mOTU_v2_1249	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio sp. [C AE2005/AE3003]	0.0000000000
ref_mOTU_v2_1250	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria newyorkensis	0.0000000000
ref_mOTU_v2_1251	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophaceae|g__Smithella|s__Smithella sp. [C D17/SCADC]	0.0000000000
ref_mOTU_v2_1252	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus sp. MIT 0602	0.0000000000
ref_mOTU_v2_1253	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus marinus	0.0000000000
ref_mOTU_v2_1254	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus sp. MIT 0701	0.0000000000
ref_mOTU_v2_1255	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus marinus	0.0000000000
ref_mOTU_v2_1256	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium sp. [C CF258/YR295]	0.0000000000
ref_mOTU_v2_1257	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Luteibacter|s__Luteibacter sp. 9143	0.0000000000
ref_mOTU_v2_1258	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Erwinia|s__Erwinia oleae [C]	0.0000000000
ref_mOTU_v2_1259	k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis|o__Thaumarchaeota order incertae sedis|f__Thaumarchaeota fam. incertae sedis|g__Marine Group I|s__Marine Group I thaumarchaeote SCGC AAA799-N04	0.0000000000
ref_mOTU_v2_1260	k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis|o__Thaumarchaeota order incertae sedis|f__Thaumarchaeota fam. incertae sedis|g__Marine Group I|s__Marine Group I thaumarchaeote SCGC AAA799-B03	0.0000000000
ref_mOTU_v2_1261	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas sp. [C AAC/M1]	0.0000000000
ref_mOTU_v2_1262	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas sp. [C KO116/HAL1]	0.0000000000
ref_mOTU_v2_1263	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas canoris [C]	0.0000000000
ref_mOTU_v2_1264	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas sp. [C COT-290 OH860/COT-290 OH3588]	0.0000000000
ref_mOTU_v2_1265	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio shilonii [C]	0.0000000000
ref_mOTU_v2_1266	k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__candidatus Phytoplasma|s__candidatus Phytoplasma asteris [C Onion Yellows/Chrysanthemum coronarium]	0.0000000000
ref_mOTU_v2_1267	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia|s__Serratia sp. Ag1	0.0000000000
ref_mOTU_v2_1268	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus sanguinis	0.0000000000
ref_mOTU_v2_1269	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. [C FSL P4-0081/FSL R5-0912]	0.0000000000
ref_mOTU_v2_1270	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus borealis	0.0000000000
ref_mOTU_v2_1271	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. FSL R5-0345	0.0000000000
ref_mOTU_v2_1272	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus sp. FSL H7-0737	0.0000000000
ref_mOTU_v2_1273	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alteromonas|s__Alteromonas sp. LOR	0.0000000000
ref_mOTU_v2_1274	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter hepaticus [C]	0.0000000000
ref_mOTU_v2_1275	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter typhlonius [C]	0.0000000000
ref_mOTU_v2_1276	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus|s__Halobacillus dabanensis	0.0000000000
ref_mOTU_v2_1277	k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Parachlamydiaceae|g__Parachlamydia|s__Parachlamydia acanthamoebae	0.0000000000
ref_mOTU_v2_1278	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus animalis	0.0000000000
ref_mOTU_v2_1279	k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus ferrivorans	0.0000000000
ref_mOTU_v2_1280	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. [C JLS/MCS]	0.0000000000
ref_mOTU_v2_1281	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus marinus	0.0000000000
ref_mOTU_v2_1282	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus marinus	0.0000000000
ref_mOTU_v2_1283	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus marinus	0.0000000000
ref_mOTU_v2_1284	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus marinus	0.0000000000
ref_mOTU_v2_1285	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium angulatum	0.0000000000
ref_mOTU_v2_1286	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Agrobacterium|s__Agrobacterium fabrum [C]	0.0000000000
ref_mOTU_v2_1287	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Nostocales|f__Chlorogloeopsidaceae|g__Chlorogloeopsis|s__Chlorogloeopsis fritschii	0.0000000000
ref_mOTU_v2_1288	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharomonospora|s__Saccharomonospora viridis	0.0000000000
ref_mOTU_v2_1289	k__Bacteria|p__Cyanobacteria/Melainabacteria group|c__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus marinus	0.0000000000
ref_mOTU_v2_1290	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter vibrioides	0.0000000000
ref_mOTU_v2_1291	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium efficiens	0.0000000000
ref_mOTU_v2_1292	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Histophilus|s__Histophilus somni	0.0000000000
ref_mOTU_v2_1293	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Kitasatospora|s__Kitasatospora sp. [C phosalacinea/setae]	0.0000000000
ref_mOTU_v2_1294	k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma agalactiae	0.0000000000
ref_mOTU_v2_1295	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Erwinia|s__Erwinia pyrifoliae [C]	0.0000000000
ref_mOTU_v2_1296	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcales fam. incertae sedis|g__Enhygromyxa|s__Enhygromyxa salina	0.0000000000
ref_mOTU_v2_1297	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus sp. [C hongkongensis/uberis]	0.0000000000
ref_mOTU_v2_1298	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Algibacter|s__Algibacter lectus	0.0000000000
ref_mOTU_v2_1299	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces avermitilis	0.0000000000
ref_mOTU_v2_1300	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax ebreus [C]	0.0000000000
ref_mOTU_v2_1301	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila	0.0000000000
ref_mOTU_v2_1302	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria gonorrhoeae	0.0000000000
ref_mOTU_v2_1303	k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Rhodopirellula|s__Rhodopirellula baltica	0.0000000000
ref_mOTU_v2_1304	k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus ferrooxidans	0.0000000000
ref_mOTU_v2_1305	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter sulfurreducens	0.0000000000
ref_mOTU_v2_1306	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia xenovorans [C]	0.0000000000
ref_mOTU_v2_1307	k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma genitalium	0.0000000000
ref_mOTU_v2_1308	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema denticola	0.0000000000
ref_mOTU_v2_1309	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes hadrus [C]	0.0000000000
ref_mOTU_v2_1310	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Ehrlichia|s__Ehrlichia ruminantium	0.0000000000
ref_mOTU_v2_1311	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas palustris	0.0000000000
ref_mOTU_v2_1312	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces wedmorensis [C]	0.0000000000
ref_mOTU_v2_1313	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces griseoluteus	0.0000000000
ref_mOTU_v2_1314	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales|f__Bdellovibrionaceae|g__Bdellovibrio|s__Bdellovibrio bacteriovorus	0.0000000000
ref_mOTU_v2_1315	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium|s__Mesorhizobium sp. [C huakuii/loti]	0.0000000000
ref_mOTU_v2_1316	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter metallireducens	0.0000000000
ref_mOTU_v2_1317	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconacetobacter|s__Gluconacetobacter diazotrophicus	0.0000000000
ref_mOTU_v2_1318	k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarcula|s__Haloarcula sp. [C californiae/marismortui/sinaiiensis]	0.0000000000
ref_mOTU_v2_1319	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium extorquens	0.0000000000
ref_mOTU_v2_1320	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium leprae	0.0000000000
